,0,1,2,3,4,5,6,7,8,9,10,11,23,22
152,G000581,500000.0,120500.6, VICENTE MR. GONZALEZ,DEM,O,576195.0,2305694.4,287833.0,288362.0,2426195.0,1000.0,Vicente Gonzalez,House
153,S001200,0.0,20515.33, DARREN SOTO,DEM,O,1198519.8,1188607.94,703938.54,490081.26,1209123.27,12100.0,Darren Soto,House
154,H001047,0.0,2068163.93, JIM HIMES,DEM,I,2076102.84,1144648.03,1075373.56,1000729.28,2167398.67,43015.0,Jim Himes,House
155,F000464,0.0,103428.99, JOHN J. MR. FASO,REP,O,2955887.9,2922131.3,2437338.64,496156.06,3025560.29,12185.0,John Faso,House
156,J000295,0.0,365568.73, DAVID P JOYCE,REP,I,2114215.84,2028677.12,991574.03,1121866.81,2119215.84,1000.0,Dave Joyce,House
157,H001051,194000.0,253702.85, RICHARD L. HANNA,REP,I,323322.27,162572.73,58900.64,264421.63,325624.53,0.0,Richard Hanna,House
158,H001034,114129.74,32308.97, MIKE HONDA,DEM,I,2987535.75,2984634.37,2229590.42,757945.33,2996005.94,28019.43,Michael Honda,House
159,T000477,28714.55,64967.39, SCOTT TAYLOR,REP,O,832852.99,806017.6,520153.04,307699.95,870984.99,1500.0,Scott Taylor,House
160,M001177,6552.44,275176.34, THOMAS MCCLINTOCK,REP,I,1057559.0,1000517.91,922464.55,135094.45,1058570.56,18200.0,Tom McClintock,House
161,A000372,1125000.0,105396.4, RICHARD W ALLEN,REP,I,1124539.5,1098325.93,618864.5,505675.0,1143612.76,0.0,Rick Allen,House
162,F000372,441079.0,470315.96, RODNEY P. FRELINGHUYSEN,REP,I,1940895.99,1672002.44,1010830.65,924020.34,1994556.82,800.0,Rodney Frelinghuysen,House
163,R000486,0.0,72624.8, LUCILLE ROYBAL-ALLARD,DEM,I,656532.58,613085.03,292432.9,364099.68,656653.58,1100.0,Lucille Roybal-Allard,House
164,C001103,250000.0,503534.3, EARL LEROY CARTER,REP,I,1262277.25,987256.84,597539.64,664737.61,1271835.81,8300.0,Buddy Carter,House
165,J000289,0.0,1313687.71, JAMES D. JORDAN,REP,I,728929.54,422966.51,370033.49,354896.05,733416.16,1050.0,Jim Jordan,House
166,R000570,0.0,9098872.77, PAUL D. RYAN,REP,I,7453786.14,13433668.84,5921544.44,1532241.7,19852220.75,38075.0,Paul Ryan,House
167,T000465,0.0,467875.43, NICOLA S TSONGAS,DEM,I,1170145.18,1146668.15,781470.38,388674.8,1213205.85,12613.8,Niki Tsongas,House
168,C001069,0.0,622922.48, JOSEPH D COURTNEY,DEM,I,1190962.6,1154847.28,472196.54,718766.06,1202548.39,-750.0,Joe Courtney,House
169,W000796,0.0,524823.94, LYNN A. WESTMORELAND,REP,I,431649.87,338179.52,157519.4,274130.47,449972.29,5000.0,Lynn Westmoreland,House
170,P000523,0.0,215563.1, DAVID E. PRICE,DEM,I,788243.51,793951.71,340863.52,445079.99,793105.6,3000.0,David Price,House
171,G000579,255000.0,61825.45, MICHAEL JOHN GALLAGHER,REP,O,2765301.59,2703822.81,2138575.53,606126.06,2765648.26,8175.0,Mike Gallagher,House
172,C001061,0.0,508615.16, EMANUEL II CLEAVER,DEM,I,1164094.66,793180.46,249520.88,914573.78,1165082.56,22800.0,Emanuel Cleaver II,House
173,D000622,0.0,137402.0, L TAMMY DUCKWORTH,DEM,C,14297445.0,16761919.0,12903810.0,1334332.0,16499322.0,120768.0,Tammy Duckworth,Senate
174,F000459,0.0,549087.01, CHARLES J FLEISCHMANN,REP,I,1643409.74,1151336.93,989684.46,653725.28,1647860.81,13900.0,Chuck Fleischmann,House
175,C001094,0.0,571214.27, PAUL COOK,REP,I,942251.19,909665.99,338410.0,603841.19,944657.62,7450.0,Paul Cook,House
176,B001291,0.0,554184.94, BRIAN BABIN,REP,I,1118886.62,724373.84,572591.62,546295.0,1131999.66,3100.0,Brian Babin,House
177,W000810,0.0,323453.65, ROB REP. WOODALL,REP,I,656270.26,390260.26,219078.0,437192.26,663565.45,0.0,Rob Woodall,House
